name,best_email,conference,title,company,personal_website,email_from_website,has_contact_form,twitter_handle,linkedin_url,phone,contact_score,bio,ai_relevance_score
MorraAarons-MeleAnxious overachiever,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
JenniferAakerBehavioral scientist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
SandraAamodtNeuroscientist and science writer,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
TrevorAaronsonJournalist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
"ChrisAbaniNovelist, poet",info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
MakhtoumAbdallaEducation rights champion,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
SimonaAbdallahPercussionist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
"YassminAbdel-MagiedMechanical engineer, social advocate",info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
"RanaAbdelhamidCommunity organizer, entrepreneur",info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
ShameranAbedGlobal poverty activist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
KarimAbouelnagaEducation entrepreneur,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
MarkAbrahamPersonalization pioneer,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
MarcAbrahamsScience humorist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
MarinaAbramovićPerformance artist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
EveAbramsAudio documentarian,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
J.J.AbramsFilmmaker,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
StaceyAbramsPolitician,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
José AntonioAbreuMaestro,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
"ThomasAbtAuthor, researcher, policymaker",info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
"AzizAbu SarahPeacemaker, entrepreneur",info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
Christiane-MarieAbu SarahWorld historian and conflict resolution specialist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
JamilAbu-WardehProducer,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
LeylaAcarogluSustainability strategist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
"JadAbumradRadio host, producer",info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
MohamedAburawiHealth systems entrepreneur,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
EmmanuelAchoEmmy-winning host and producer,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
ShawnAchorPsychologist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
KateAckermanSports endocrinology clinician scientist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
AlessandroAcquistiPrivacy economist,info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
"BillAckmanFounder and CEO, Pershing Square Capital Management",info@enable-javascript.com,TED,TED Speaker,,https://enable-javascript.com/,info@enable-javascript.com,False,@tedtalks,https://www.linkedin.com/company/ted-conferences/,7780404404,80,,0
Aaron KarpSenior Product ManagerHe/Him,io-saysomething@google.com,Google I/O 2024,,,https://io.google/2024/speakers/aaron-karp/,io-saysomething@google.com,False,,,9392414673,50,,0
Awsreinvent-Support,,AWS re:Invent,,,,,,,,,,,0
Accommodations,,Microsoft Build,,,,,,,,,,,0
V-Kibrett,,Microsoft Build,,,,,,,,,,,0
Accommodations,,Microsoft Build,,,,,,,,,,,0
Build,,Microsoft Build,,,,,,,,,,,0
Krista,,Microsoft Build,,,,,,,,,,,0
Questions_Accommodations,,Microsoft Build,,,,,,,,,,,0
